no;restaurant_name;city;district;place;unique_menu;price;google_rating;google_count;platform_rating;platform_count;specialized;beef;chicken;seafood;appetizer;other_dish;dessert;drinks;other_poultry;takeaway;delivery;outdoor;smoking_area;alcohol_served;wifi;reservation;other
1;Tucano's Churrascaria;Central Jakarta;Sudirman;Senayan City;Classic Beef 90 minutes;268000; 4.7 ;330; 4.7 ;777;Brazilian;sirloin, wagyu;yes;no;soup, pasta;churros, egg tart, fries;ice cream;mocktail, juice, mineral water, soft drink, coffee, tea;no;yes;yes;yes;yes;cocktail, wine, beer, highball;yes;yes;buffet, bar, live entertainment, private dining
2;Kitchenette;South Jakarta;Senayan;Senayan City;Kitchenette Steak Frites;205000; 4.5 ;745; 4.1 ;574;Western;rib eye;roasted;dory, barramundi, fish and chips;fries, meatball, quesadillas, salad;burger, rice plate, fried rice, savory crepes etc;crepe, cake, pie;beer, wine, alcohol, mocktails, milkshakes, lemonade, smooties;seafood;yes;no;no;no;wine, beer, cocktail, liquor, spirit;yes;yes;no
3;Tony Roma's;Central Jakarta;Thamrin;UOB Plaza;Baby Back Ribs with Fish Fillet;170000; 4.5 ;559; 4.6 ;488;Western;ribs, striploin, rib eye;crispy tenderloins, steak, barbeque;platters, shrimp, salmon, fish fillet;soup, salad, quesadilas, fries etc;artichoke dip, mozarella stick, burger etc;ice cream, cake, special etc.;alcohol, coffee, tea, juice;pork, seafood;no;no;no;no;liquor, rum, tequila, gin, vodka, whiskey etc;yes;yes;no
4;Gandy Steak House;Central Jakarta;Menteng;Owned place;Grilled Australian Tenderloin;191000; 4.5 ;2041; 4.3 ;386;Western;sirloin, tenderloin, rib eye, ribs;steak, schnitzel, cordon bleu etc;salmon, fish, prawn, platter, fish and chips;soup, salad, pasta, garlic bread, quesadilas;sandwich, schnitzel, burger, fries etc;ice cream, gelato;beer, wine, alcohol, coffee, iced coffee, iced tea, juice, milkshakes, water, mocktails;seafood, lamb;yes;no;no;no;cocktail, wine, beer;yes;yes;bakery
5;Joni Steak;Central Jakarta;Gajah Mada;Owned place;Wagyu Top Side;72000; 4.5 ;5093; 4.1 ;545;Local;sirloin, rib eye, wagyu;steak, schnitzel, burger, cordon bleu etc;prawn, salmon, fish and chips;pasta;pizza, fries;banana split, cream brulee;milkshakes, coconut, cocktail, juice, iced coffee, blackcurrant, tea, lemon, tebu;seafood;yes;yes;no;no;no;no;no;no
6;MUCCA Steak;Central Jakarta;Sudirman;Citywalk Sudirman;Tomahawk Bone In Rib Eye Steak;940000; 4.5 ;391; 4.2 ;232;Western;tenderloin, sirloin, rib eye, wagyu;steak;dory, fish, salmon;wraps, salad, pasta;burger, nasi goreng, fries etc;ice cream, cake, french toast;beer, coffee, juice, iced tea;seafood;yes;no;no;yes;beer;yes;yes;kids friendly
7;El Machote;Central Jakarta;Menteng;Owned place;Chivito Plato;150000; 0.0 ;0; 4.1 ;154;Mexican;sirloin, rib eye, tenderloin, brisket etc;yes;salmon;soup, nachos, quesadilas, salad, pasta, empanada;fries, burger, sandwich, wings etc;crepe, ice cream;beer, wine, alcohol, mocktails, smooties, lemonade, juice, soft drinks, coffee, tea, mineral water;pork, seafood, lamb;yes;yes;no;yes;beer, vodka, whiskey, tequila, wine etc;yes;yes;all you can eat, bar
8;Waroeng Steak & Shake;Central Jakarta;Cempaka Putih;Owned place;Sirloin Double with Brown Sauce;34545; 4.4 ;6470; 3.6 ;138;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;fish steak, grilled;no;chicken rice;sweet drinks;milkshakes, orange, iced tea, chocolate, lime, tea, mineral water;seafood;yes;no;no;no;no;no;no;no
9;Holycow! Menteng;Central Jakarta;Menteng;Gedung Sere Manis;Wagyu Rib Eye Ranger's Valley;199000; 4.3 ;1472; 3.7 ;325;Local Westerned;sirloin, tenderloin, rib eye, wagyu etc;steak;platters;fries;pasta;ice cream, cake, sweet drinks;sweet drinks, milo, non-alcohol beer, soft drink, mineral water;seafood;yes;no;yes;yes;no;yes;no;kids friendly
10;Holycow! Pecenongan;Central Jakarta;Pecenongan;Owned place;Australian Prime Tenderloin;133000; 4.5 ;2356; 4.0 ;115;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;lime, soda, mango latte, milkshakes, matcha, cappucino, soft drink etc.;seafood;yes;no;no;yes;no;yes;no;no
11;Fiesta Steak;Central Jakarta;Thamrin;Grand Indonesia;Round Steak;49090; 4.3 ;91; 3.3 ;77;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon, fish and chips;soup, pasta, salad, chicken pop;fries, rice plate;no;mineral water, soft drink, coffee, orange juice, milo, tea;seafood;yes;no;no;no;no;no;no;self service
12;Abuba Steak;Central Jakarta;Menteng;Owned place;Wagyu Rib Eye;235000; 4.4 ;3221; 3.5 ;183;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;milkshakes, juice, mocktail, tea, soft drink, chocolate, mineral water;seafood, lamb;yes;yes;no;yes;no;yes;yes;kids menu
13;American Grill;Central Jakarta;Thamrin;Owned place;Filet Amigon TM & Steak;382000; 3.9 ;86; 3.2 ;106;American;ribs, rib eye, striploin, sirloin etc;yes, various chicken steak;calamari, salmon, platters;no;seafood steaks, fries etc;no;beer, wine, coffee, smooties, soft drink, mineral water, tea;seafood;no;no;no;no;wine, beer;yes;yes;buffet
14;Steak 21;Central Jakarta;Cempaka Putih;Green Pramuka Square;Prime Sirloin Original Regular 200gr;107000; 4.6 ;219; 3.4 ;40;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, snapper, tuna;soup, salad, pasta;burger, fries, fried rice, seafood steaks;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;yes;no;yes;yes;no;yes;yes;no
15;Bara Grill;Central Jakarta;Cempaka Putih;Owned place;Brisket 100gr;48000; 0.0 ;0; 3.2 ;16;Local;brisket, ribs, shank;yes;no;sausage platter;fries, colesaw;no;blackcurrant, tea, soft drink, mineral water;duck, lamb;yes;no;yes;yes;no;no;no;no
16;Terminal Steak & Cafe;Central Jakarta;Hayam Wuruk;Owned place;Sirloin Steak;65000; 4.2 ;74; 2.6 ;6;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;salmon, tuna, gindara;spaghetti, burger, wedges;rice plate, seafood, fried rice etc;no;juice, milkshakes, coffee, tea;seafood, vegetables;yes;no;no;yes;no;yes;yes;no
17;The Holy Ribs;Central Jakarta;Sudirman;World Trade Center 6;Hokubee Sirloin 200gr;150000; 3.7 ;9; 3.0 ;18;Local Westerned;sirloin, tenderloin, rib eye, ribs, wagyu, hokubee, oz prime;steak;no;soups, sausage;fries;ice cream, brownies;tea, soda, soft drinks, mineral water, orange juice, milo;no;yes;no;no;no;no;no;no;no
18;Outback Steakhouse;Central Jakarta;Sudirman;Ratu Plaza;New York Strip;289000; 4.3 ;572; 4.2 ;227;Western;striploin, sirloin, tenderloin, rib eye, ribs, t-bone;grilled;fish and chips, dory, salmon;fries, soups, salad, pasta;seafood, burger, taco;cookie, pie, cake, special;beer, alcohol, cocktails, coffee, tea, smoothies, milkshakes, lemonade, soft drinks;no;yes;yes;no;no;beer;yes;yes;kids menu
19;La Posta;Central Jakarta;Sudirman;Owned place;Sirloin Strip;395000; 4.6 ;726; 4.5 ;224;Argentinian;sirloin, striploin, tenderloin, rib eye, flank etc;barbequed, fried;no;eggs, mushrooms, empanada, salad, traditional;fries;cake, biscuit, ice cream;beer, wine, alcohol, tea, coffee, soft drinks;pork;yes;yes;no;no;wine, beer;yes;yes;bar, delivery menu
20;D'Core;Central Jakarta;Sudirman;Wisma BNI 46;Sirloin Cheese Steak;140000; 4.1 ;11; 3.2 ;26;Local Westerned;rib eye, tenderloin, sirloin;various chicken dishes;fish and chips, snapper, dory;soup, omelette, fries, pasta;rice plate, fried rice, martabak;banana, ice cream, merah delima, sweet drinks;frappe, smooties, coffee, milkshakes;no;yes;yes;no;no;no;yes;yes;no
21;Benihana Japanese Steakhouse;Central Jakarta;Thamrin;Plaza Indonesia;Saikoro Tenderloin Steak;525000; 4.6 ;168; 4.3 ;242;Japanese;sirloin, tenderloin, rib eye, wagyu;teriyaki;mixed teppan, platter, lobster, scallop etc;soup, salad;sushi, sashimi, udon, fried rice etc;senzai, mochi, specials;alcohol, mocktails, juice, soda, soft drinks, mineral water, coffee, tea;vegetables, seafood, tofu;yes;yes;no;yes;vodka, rum tequila, gin, whiskey etc;yes;yes;teppanyaki
22;1/15 Coffee;Central Jakarta;Thamrin;Owned place;Braised Beef;180000; 4.5 ;2029; 4.4 ;602;Breakfast Cafe;rib eye;roasted;fish fritters;salad, pasta, egg, sausages;fries;acai, waffle, pudding, kaya, french toast etc;coffee, tea, juice, lime;pork, duck, seafood;yes;no;yes;yes;no;yes;no;kids friendly
23;Public Markette;Central Jakarta;Thamrin;Grand Indonesia;US Prime Sirloin Steak;375000; 4.5 ;1539; 4.2 ;1083;Breakfast Cafe;sirloin;satay, butter, barbeque;fish and chips;pasta, pizza, salad, nachos, soup, satay etc;rice plate, egg benedict;sweet drinks, smoothie bowl;beer, alcohol, juice, smootie, coffee, milkshakes, lemonade, tea, mineral water, soft drink;pork, seafood;yes;no;yes;no;margarita, vodka, rum, beer etc;yes;yes;brunch
24;Greyhound Cafe;Central Jakarta;Menteng;Owned place;Waterfall Sirloin on Hot Plate;245000; 4.5 ;937; 4.1 ;639;Fushioned;sirloin;fried, skewer, grilled, crispy, satay etc;salmon;pasta, salad, soup, fries etc;fried rice, rice plate, tomyum, fries etc;shaved ice, pannacotta, pudding, parfait etc;beer, wine, alcohol, coffee, tea, mineral water, chocolate, juice;pork, seafood;yes;yes;no;yes;cocktail, beer, wine, liquor etc;yes;yes;live entertainment
25;Caffe Milano;Central Jakarta;Thamrin;Grand Indonesia;Wagyu Beef Tagliata;380000; 4.5 ;1159; 4.4 ;710;Italian;sirloin, tenderloin, rib eye, wagyu;roasted, parmigiana;calamari, clam;salad, fries, pasta;pizza etc;gelato, cake, pannacotta, gelato parfait etc;beer, alcohol, yoghurt, smootie, milkshakes, tea, coffee;seafood, vegetables;yes;no;no;yes;cocktail, beer, liquor etc;yes;yes;no
26;Ninety Nine;Central Jakarta;Thamrin;Grand Indonesia;Australian Gras Fed Tenderloin 160gr;325000; 4.4 ;00.00; 4.2 ;655;Indonesian, Singaporean;sirloin, tenderloin, rib eye;pepes, grilled, parmigiana;fish and chips, barramundi, salmon;salad, humus, pasta, fries platter;bakmi, soto, hainanse etc;no;beer, wine, alcohol, coffee, tea, milkshakes, soft drink, juice;pork, seafood;yes;no;no;no;cocktail, beer, wine, sangria;yes;yes;no
27;Camden Bar;Central Jakarta;Cikini;Owned place;Wagyu Beef Sirloin Grade 5;260000; 4.4 ;3328; 4.1 ;437;Western;sirloin, tenderloin;grilled, fried;dory;soup, salad, pasta;pizza, burger, fillet, fries, indonesian etc;tiramisu, fudge, crepes;beer, wine, alcohol, chocolate, milk, coffee, tea, milkshakes, squash, juice;seafood;no;no;yes;yes;cocktail, beer, wine, rhum, liquor etc;yes;yes;bar
28;Rosso;Central Jakarta;Sudirman;Shangrila Hotel;Filetto di Manzo in Salsa Al Gorgonzola;490000; 4.5 ;109; 4.3 ;197;Italian;sirloin, tenderloin, rib eye;roasted;platters, salmon, tuna, lobster;risotto, soup, pasta;pizza;sorbet, gelato, traditional italian;wine, champagne, sparkling;foie gras, seafood, vegetables;no;no;no;no;wine, champagne, sparkling;yes;yes;bar, city view
29;Ocha & Bella;Central Jakarta;Menteng;Hotel Morrissey;La Spada ;460000; 4.5 ;1400; 4.0 ;492;Italian, Japanese;striploin, t-bone, ribs;katsu, fajitas;salmon, snapper, sea bass, tuna;salad, pasta, risotto, parmigiana etc;gyoza, sashimi, rice bowl, seafood, etc;sorbet, gelato, cake, ice cream;beer, wine, alcohol, smootie, herbal drink, tea;pork, seafood, vegetables;no;no;yes;yes;wine, cocktail, liquor, beer etc;yes;yes;bar, praying room
30;Angus House;Central Jakarta;Senayan;Plaza Senayan;Kobe Beef 200gr;1570000; 4.6 ;502; 4.2 ;133;Japanese;sirloin, tenderloin, rib eye, wagyu, kobe, US;no;platters, salmon, prawn, oyster;raw seafood, soup, salad, pasta;hamburg, grilled seafood;cake, crepes, fruit, ice cream;wine;seafood, lamb, foie gras;no;no;no;no;wine;yes;yes;no
31;Akira Watanabe;Central Jakarta;Senayan;Plaza Senayan;Porterhouse Steak Florentine Style;1200000; 4.5 ;607; 4.4 ;462;Japanese;sirloin, tenderloin, porterhouse;grilled;sea urchin, black cod, barramundi, red snapper, salmon;bruschetta, salad, fries, soup, pasta, risotto;pasta, pizza;pannacotta, gelato, cake;beer, alcohol, mocktail, smooties, soda;duck;no;no;no;no;beer, cocktail;yes;yes;private room, live entertainment
32;OSCAR;Central Jakarta;Thamrin;The Plaza Office Tower;Angus Rib Eye;480000; 4.5 ;444; 4.3 ;299;Western;rib eye;roasted;lobster, salmon, sea bass;seafood, pasta, soup;pasta, pizza;cake, pannacotta, ice cream, sorbet;sake, wine, alcohol, juice, soft drink, energy drink, coffee, tea, chocolate, mineral water;seafood, lamb, foie gras;yes;no;no;yes;wine, sake, whisky, cocktail, rum, vodka etc;no;yes;private room, valet parking
33;Open Restaurant;Central Jakarta;Cikini;Doubletree by Hilton Hotel;Tenderloin 200gr;359000; 4.4 ;395; 4.2 ;257;Fushioned;sirloin, tenderloin, rib eye;fried, roasted;salmon, sea bass;soup, salad, pasta;rice plate, fried rice, steamed rice, pizza, fries;cake, fruit;wine, mocktails, mineral water, coffee, chocolate, tea, soft drink, juice;no;yes;yes;no;yes;wine;yes;yes;private room, praying room, bar, buffet
34;Signatures Restaurant;Central Jakarta;Thamrin;Hotel Indonesia Kempinski;Grilled Steak Sandwich with Black Angus Tenderloin;235000; 4.5 ;380; 4.2 ;626;Fushioned;tenderloin, rib eye;grilled;salmon;salad;sandwich, burger, soup, noodle, pizza, pasta etc;fruit, cream brulee, pannacotta, ketan, fries etc;beer, alcohol, sparkling water, juice, soft drink, milkshakes, smooties, mocktails, tea, coffee;seafood, lamb;yes;yes;no;yes;cocktail, beer, whisky, malt, rum, tequila etc;yes;yes;breakfast, private room, kids friendly, buffet
35;SKYE;Central Jakarta;Thamrin;Grand Indonesia;USDA Prime Rib Eye Pepper Steak;220000; 4.6 ;4068; 4.3 ;2835;Western;sirloin, tenderloin, rib eye, tomahawk, wagyu, t-bone;roasted;salmon;soup, salad, pasta, selected, bun;macaroni, fries;cake, bombolini, cream brulee, special;wine, sparkling, alcohol, mint, mineral water, soft drink, coffee, tea;pork, seafood, lamb, duck, foie gras;no;no;yes;yes;cocktail;yes;yes;private room, valet parking, live entertainment, rooftop, city view
36;Alto Restaurant & Bar;Central Jakarta;Gatot Subroto;Four Seasons Hotel;Fileto Al Pepe 130gr;; 0.0 ;0; 4.3 ;158;Italian;sirloin, tenderloin, t-bone;no;salmon, sea bass, lobster;antipasti, soup, salad, pasta, risotto, bruschetta;bruschetta, cheese puffs, fries, lasagna, risotto;special;alcohol, juice, coffee, tea, mineral water;seafood;no;no;yes;no;sparkle, liquor, cocktail etc;yes;yes;private room, luxury dining
37;Indoguna Meat Shop;South Jakarta;Senopati;Owned place;Dry Aged Beef;125000; 4.6 ;1162; 4.0 ;82;Western;unspecific;grilled, roasted;calamari, dory;quesadila, nachos, soup, salad, pasta etc;burger, pizza;cake, toast;coffee, tea, mineral water, chocolate;seafood;yes;no;no;no;no;no;no;breakfast
38;Steak 21;South Jakarta;Lebak Bulus;Carefour Lebak Bulus;Prime Sirloin Regular;100000; 4.3 ;81; 3.0 ;26;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;yes;no;no;no;no;no;yes;breakfast
39;Cafe de Paris;South Jakarta;Kebayoran Lama;Bellezza Shopping Arcade;Steak aus Champignons;98000; 4.0 ;19; 3.2 ;18;French;unspecific;parmigiana, cordon bleu;fish and chips, shrimp, squid, platter;soup, salad, pasta;sandwich, fries;banana, ice cream, crepes;beer, soft drink, mineral water, juice, chocolate, coffee, tea;seafood;yes;no;no;no;beer;yes;yes;breakfast
40;Cut & Grill;South Jakarta;Tebet;Owned place;Australian Wagyu Tomahawk;1800000; 4.6 ;1873; 4.6 ;1213;Western;tomahawk, sirloin, striploin, tenderloin, ribeye etc;grilled, stuffed;salmon, black cod, tuna;soup, salad, pasta, bruschetta, fries;kebab, burger;cake, pudding, pannacotta, crumble, cookie;mocktails, juice, mineral water, coffee, tea;seafood, vegetables;yes;yes;yes;yes;no;yes;yes;kids friendly, praying room, live entertainment, valet parking
41;Ruth's Chris Steakhouse;South Jakarta;Karet;Somerset Grand Citra;Petite Filet and Shrimp;770000; 4.6 ;992; 4.6 ;567;Western;filet, rib eye, tomahawk, t-bone;stuffed;shrimp, tuna, scallop, crab, oysters, lobsters;seafood, salad, soup;no;cake, pie, cream brulee, pudding, ice cream etc;beer, wine, alcohol, coffee, tea;seafood, lamb, vegetables;no;no;no;no;wine, beer;no;yes;luxury dining, private room
42;Meat Me Steak House & Butchery;South Jakarta;Kemang;Kemang Village;Beef Parmigiana;125000; 4.4 ;220; 4.1 ;227;Western;sirloin, tenderloin, rib eye, brisket;parmigiana;fish and chips, salmon;soup, pasta;fried rice, rice bowl, rice plate etc;no;beer, wine, juice, latte, mineral water, coffee, tea;seafood;yes;no;yes;yes;wine, beer;yes;yes;no
43;The Real Holysteak!;South Jakarta;Blok M;Blok M Plaza;Beef Ribs Lollipop;199000; 4.4 ;270; 4.3 ;201;Local Westerned;sirloin, tenderloin, rib eye, ribs, wagyu;yes;fish and chips, salmon;soup, pasta, spinach;burger, mac and cheese balls etc;pannacotta, banana fritters, cake;butterscotch, milkshakes, mocktails, coffee, tea;seafood, vegetables;yes;no;no;no;no;no;no;no
44;J Steak;South Jakarta;Blok M;Owned place;Meatville Australian PR Striploin (per gram);850; 4.4 ;156; 3.9 ;86;Western;striploin, sirloin, tenderloin, rib eye, wagyu, t-bone;no;no;no;rice, fries;ice cream;beer, ocha, mineral water, soft drink;no;no;no;no;no;beer;yes;yes;valet parking
45;Super Steak;South Jakarta;Blok M;Owned place;Steak Platter (Grilled Sirloin & Tomahawk);225000; 4.5 ;395; 4.1 ;131;Western;sirloin, tenderloin, rib eye, tomahawk;no;salmon, lobster, prawn;no;fries, salmon;no;beer, soft drink, mineral water, tea;seafood;yes;no;no;no;beer;yes;yes;costumized steak
46;Holy Smokes;South Jakarta;Senopati;Owned place;Southern Styles Beef Ribs Half Rack (2 sides);295000; 4.5 ;1516; 4.4 ;1445;Western;brisket, ribs, fillet, rib eye, porterhouse, wagyu;barbeque, fried;salmon;fries;burger, sandwich, fries, pork chop etc;pudding, bread, cake, tart, pannacotta;mineral water, soft drink, tea;pork, seafood;no;no;no;no;wine, beer;yes;yes;valet parking, praying room
47;Couz Steakhouse;South Jakarta;Cilandak;Owned place;Hickhory Back Ribs;155000; 4.7 ;236; 4.1 ;49;Western;sirloin, tenderloin, rib eye, ribs, tomahawk, mignon;roasted;no;salad, cognac de beouf;fries, spinach;brownies, crumble, crepes;milkshakes, squash, soft drink, mineral water, coffee, tea;vegetables;yes;no;no;no;no;yes;yes;no
48;Bistecca;South Jakarta;SCBD;18 Parc SCBD;New York Striploin 300gr;660000; 4.5 ;1058; 4.4 ;497;Western;striploin, tenderloin, rib eye, brisket;no;salmon, sea bass, crab, octopus;seafood, salad, pasta, tartare etc;salmon, fries etc;no;alcohol, mineral water, soda, soft drink, coffee, tea;pork, seafood, lamb;no;no;no;yes;liquor, cocktails, vodka, rum, whiskey etc;yes;yes;private room, bar
49;Holycow! Kemang;South Jakarta;Kemang;Owned place;Wagyu Tenderloin Ranger's Valley;224000; 4.3 ;935; 4.1 ;391;Local Westerned;sirloin, tenderloin, rib eye, wagyu etc;steak;platters;fries;pasta;ice cream, cake;sweet drinks, milo, non-alcohol beer, soft drink, mineral water;seafood;yes;no;no;no;no;yes;no;valet parking, kids friendly
50;Andakar;South Jakarta;Pasar Minggu;Owned place;Tenderloin;89500; 4.5 ;2456; 4.1 ;205;Local;sirloin, tenderloin, rib eye, ribs;steak, fried, filet;fish and chips, salmon, dory;lasagna, fries, nachos;burger, fries etc;ice cream;milkshakes, mineral water, squash, coffee, tea, juice, soft drink;seafood, lamb;yes;no;yes;yes;no;no;yes;no
51;Abuba Steak;South Jakarta;Fatmawati;Owned place;New Zealand T-Bone ;118000; 4.5 ;6577; 4.1 ;429;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;milkshakes, juice, mocktail, tea, soft drink, chocolate, mineral water;seafood, lamb;yes;yes;no;yes;no;yes;yes;valet parking, praying room, kids friendly
52;Tony Roma's;South Jakarta;Gandaria;Gandaria City;The Original Baby Back Ribs Regular;420000; 4.3 ;349; 4.1 ;182;Western;ribs, striploin, rib eye;crispy tenderloins, steak, barbeque;platters, shrimp, salmon, fish fillet;soup, salad, quesadilas, fries etc;artichoke dip, mozarella stick, burger etc;ice cream, molten chocolate, special etc.;alcohol, coffee, tea, juice;pork, seafood;yes;no;no;no;liquor, rum, tequila, gin, vodka, whiskey etc;yes;yes;no
53;AGED+ Butchered Steakhouse;South Jakarta;Setiabudi;MD Place Building;Wagyu Riserva 9+ Picanha 100gr;320000; 4.8 ;996; 3.9 ;19;Japanese;sirloin, striploin, rib eye, t-bone, wagyu;no;scallop, lobster, salmon, crab, octopus;raw meat & seafood, salad, soup, fries;korean hotpot, vegetables;souffle, cream brulee, ice cream, special;wine, beer, alcohol;seafood;yes;no;no;no;wine, beer, spirit, sake;no;no;no
54;The Holy Ribs;South Jakarta;Karet;Ciputra World;Wagyu Back Ribs 4 Bones;299000; 4.4 ;546; 4.0 ;284;Western;sirloin, tenderloin, rib eye, wagyu, hokubee, oz prime;steak, roasted;no;soup;fries, sausages, spinach, green bean;no;tea, soda, soft drinks, mineral water, orange juice, milo;no;no;no;no;no;no;no;yes;no
55;Vins Steak;South Jakarta;Tebet;Owned place;Vins Aust Special;83500; 4.5 ;89; 3.7 ;9;Local;sirloin, tenderloin, rib eye, t-bone, australian, nz;steak;gindara;no;gindara, sausage;no;juice, soft drink, coffee, tea, mineral water;seafood, lamb;yes;no;no;no;no;no;yes;no
56;MUCCA Steak;South Jakarta;Setiabudi;Setiabudi One;AUS Tenderloin;178000; 4.3 ;261; 3.9 ;110;Western;tenderloin, sirloin, rib eye, wagyu;steak;dory, fish, salmon;wraps, salad, pasta;burger, nasi goreng, fries etc;ice cream, cake, french toast;beer, coffee, juice, iced tea;seafood;yes;no;no;no;beer;yes;yes;no
57;Lokananta;South Jakarta;Dharmawangsa;Owned place;Sirloin Double Mushroom;180000; 4.5 ;574; 3.8 ;164;Local Westerned;sirloin, tenderloin, rib eye;steak, teriyaki, katsu;salmon;soup, pasta, salad, fries, sausages;burger, sandwich, rice plate, fried rice etc;toast, pancake, ice cream;mocktails, juice, smooties, soft drink, mineral water, coffee, tea;seafood;yes;no;yes;no;no;yes;yes;no
58;Volare;South Jakarta;Fatmawati;Cilandak Town Square;Filetto Al Pepe Verde;295000; 4.0 ;38; 3.9 ;87;Italian;tomahawk, t-bone, sirloin, tenderloin, rib eye, wagyu etc;parmigiana, cordon bleu, fillet, roasted;barramundi, salmon, gindara, octopus;salad, soup, pasta, pizza, risotto, bruschetta etc;fries;nutella pizza, pannacotta, cream brulee, tiramisu etc;beer, alcohol, milkshakes, chocolate, juice, coconut water, mineral water, soft drink, coffee, tea;seafood;yes;no;yes;yes;beer, cocktail;yes;yes;corkage fee
59;Gandy Steak House;South Jakarta;Pondok Indah;Apartemen Pondok Indah Golf;Grilled Australian Tenderloin;191000; 4.5 ;315; 3.3 ;49;Western;sirloin, tenderloin, rib eye, ribs;steak, schnitzel, cordon bleu etc;salmon, fish, prawn, platter, fish and chips;soup, salad, pasta, garlic bread, quesadilas;sandwich, schnitzel, burger, fries etc;ice cream, gelato;beer, wine, alcohol, coffee, iced coffee, iced tea, juice, milkshakes, water, mocktails;seafood, lamb;no;no;no;no;beer, cocktail;yes;yes;no
