no;restaurant_name;city;district;place;unique_menu;price;google_rating;google_count;platform_rating;platform_count;specialized;beef;chicken;seafood;appetizer;other_dish;dessert;drinks;other_poultry;takeaway;delivery;outdoor;smoking_area;alcohol_served;wifi;reservation;other
120;Kapten Steak;North Jakarta;Sunter;Ruko Taman Nyiur;Kolonel Burger Steak;68000; 4.3 ;626; 3.8 ;117;Local;sirloin, tenderloin, rib eye;steak, spiral, katsu, grilled, teriyaki, cordon bleu;salmon, gindara, fish and chips;salad, shumai, rujak, nachos, croissant, fries;rice plate, fried rice, beehoon, pasta, sandwich;ice cream, sweet drinks;beer, chocolate, soft drinks, squash;seafood, lamb;no;no;yes;no;beer;yes;yes;no
121;Steak 21 Buffet;North Jakarta;Kelapa Gading;Mall Kelapa Gading;Paket C Supreme;368000; 4.2 ;45; 3.7 ;10;Western;sirloin, tenderloin, rib eye, ribs, tongue;steak;salmon, shrimp;no;no;no;milo, soft drink, coffee, tea;seafood, lamb;no;no;no;no;no;no;yes;buffet
122;Aya Steak;North Jakarta;Sunter;Owned place;Rib Eye Large;50000; 4.3 ;485; 3.4 ;19;Local;sirloin, tenderloin, rib eye;steak;salmon, fish and chips;pasta;rice plate, burger, chicken wings, fries etc;es sop buah, es kacang merah, es jelly;juice, squash, coffee, tea, mineral water, aloe vera;seafood, lamb;yes;yes;no;no;no;no;yes;no
123;Steak Gunting;North Jakarta;Pantai Indah Kapuk;Ruko Cordoba;Wagyu OZ;199000; 4.4 ;1153; 3.5 ;305;Local Westerned;sirloin, rib eye, wagyu;steak;dory fish and chips;no;shumai;no;smooties, juice, soft drink, mineral water, coffee, tea;seafood;yes;yes;no;no;no;no;yes;no
124;Fiesta Steak;North Jakarta;Penjaringan;Emporium Pluit Mall;Sheriff Steak;95454; 3.8 ;24; 2.9 ;10;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon;soup, pasta, salad, chicken pop;fish and chips, salmon, fries, rice plate;no;mineral water, soft drink, coffee, orange juice, milo, tea;seafood;yes;no;no;no;no;no;no;no
125;Good Friend;North Jakarta;Sunter;Ruko Plaza Sunter Terrace;Norwegian Salmon Grill;158000; 4.4 ;122; 3.4 ;17;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, cordon bleu;salmon, fish and chips;soup, garlic bread, fries;various meatball, tomyam, shabu shabu, udon etc;no;juice, squash, soft drink, mineral water, coffee, tea;seafood;no;no;no;no;no;no;yes;praying room, kids friendly
126;Holy Smokes;North Jakarta;Pantai Indah Kapuk;Ruko Cluster Garden House;Wagyu Brisket Fatty 180gr (meat only);160000; 4.5 ;258; 4.4 ;426;Western;brisket, ribs, fillet, rib eye, porterhouse, wagyu;barbeque, fried;salmon;fries;burger, sandwich, fries, pork chop etc;pudding, bread, cake, tart, pannacotta;mineral water, soft drink, tea;pork, seafood;yes;no;no;no;no;yes;yes;no
127;Parkiran Steak & Bar;North Jakarta;Sunter;Owned place;Parkiran T-Bone 200gr;122000; 0.0 ;0; 3.0 ;5;Local Westerned;sirloin, tenderloin, rib eye, t-bone, cube;grilled;salmon, tuna, dory;salad, pasta;fries, soup, pizza, hot dog, pizza, indomie etc;toast;beer, wine, alcohol, local drink, energy drink, juice, mineral water, coffee, tea;seafood, lamb;yes;no;no;yes;beer, wine, whiskey, gin, rum, liquor etc;yes;yes;private dining, valet parking, live entertainment, bar
128;The Garden;North Jakarta;Pantai Indah Kapuk;Ruko Garden House;Pleasure Pork Ribs;170000; 4.5 ;1575; 4.4 ;1693;Local Westerned;ribs, t-bone, wagyu;grilled;crab, fish of the day;fries, escargot, chips, burger;soup, rice plate, noodle, beehoon, pizza, bun etc;cake, souffle, crumble, ice cream, churros, parfait;beer, wine, alcohol, mocktails, milkshakes, soft drink, mineral water, coffee, tea;seafood, pork, tofu;yes;yes;no;yes;wine, beer, liquor, cocktail;yes;yes;bar, live music
129;Beatrice Quarters;North Jakarta;Pantai Indah Kapuk;PIK Avenue Mall;Hibachi Steak Hokubee Sirloin;175000; 4.3 ;196; 4.1 ;146;Japanese;sirloin, tenderloin, rib eye;grilled;salmon, dory;salad;pasta, fried rice, mentaiko, fries, healthy bowl;toast;coffee;seafood;yes;no;no;no;no;yes;yes;no
130;Frankfurter Hotdog & Steak;North Jakarta;Pluit;Owned place;Salmon Trout;175000; 4.5 ;588; 4.0 ;92;Local Westerned;sirloin, tenderloin, rib eye;steak;salmon, dory;no;sausages, burger, pasta, corrizo;ice cream, sweet drinks;squash, coffee, tea;seafood;yes;no;no;no;no;no;no;no
131;PAVVO Kitchen Bar & Lounge;North Jakarta;Pantai Indah Kapuk;Ruko Beach Boulevard;Tomahawk;1850000; 4.6 ;118; 0.0 ;0;Western;tomahawk;no;salmon, prawns, lobster;no;pasta;ice cream, cake, croissant;alcohol, mocktail, juice, matcha, chocolate, soft drinks, coffee, tea;pork, seafood, duck, lamb;yes;no;no;yes;whiskey, gin, tequila, malt etc;no;yes;live entertainment, bar
132;PVBLIC Bistro & Bar;North Jakarta;Pantai Indah Kapuk;Ruko Elang Laut;US T-Bone Steak;250000; 4.3 ;367; 4.0 ;154;Western;tenderloin, t-bone, brisket;fried;salmon;salad;rice plate, fried rice, noodle, kway teow, fries;no;beer, soju, alcohol, mocktail, juice, mineral water, energy drink, soft drink, coffee, tea;seafood, pork;no;no;no;yes;beer, soju, liquor;yes;yes;no
133;Holycow! Kalimalang;East Jakarta;Kalimalang;Transmart Carefour;US Tenderloin;149000; 4.6 ;2364; 4.2 ;198;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;lime, soda, mango latte, milkshakes, matcha, cappucino, soft drink;seafood;yes;no;no;no;no;yes;yes;no
134;The Real Holysteak!;East Jakarta;Cibubur;Trans Studio Mall Cibubur;Wagyu Tenderloin 200gr;199000; 3.2 ;22; 3.9 ;72;Local Westerned;sirloin, tenderloin, rib eye, ribs, wagyu;yes;fish and chips, salmon;soup, pasta, spinach;burger, mac and cheese balls etc;pannacotta, banana fritters, cake;milkshakes, mocktails, coffee, tea;seafood, vegetables;yes;no;no;no;no;no;yes;no
135;Abuba Steak;East Jakarta;Klender;Owned place;New Zealand Sirloin ;97000; 4.4 ;2198; 3.8 ;101;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;milkshakes, juice, mocktail, tea, soft drink, chocolate, mineral water;seafood, lamb;yes;yes;no;no;no;yes;yes;no
136;iSTEAKu;East Jakarta;Cibubur;Owned place;AUS Wagyu Meltique Rib Eye 150gr;119000; 4.5 ;140; 3.9 ;49;Local Westerned;striploin, tenderloin, rib eye, wagyu;parmigiana, maryland, grill;no;quesadila, fries, nachos;pasta, soup, rice plate, fried rice, burger etc;ice cream, cake, sweet drinks;mocktail, milkshakes, juice, chocolate, coffee, tea;no;no;no;no;no;no;no;yes;praying room
137;Steak 21;East Jakarta;Cakung;AEON Mall;Supreme Sirloin Orginal Regular 200gr;143000; 4.3 ;72; 3.9 ;37;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;yes;no;no;yes;no;yes;yes;no
138;Steak 21;East Jakarta;Klender;Buaran Plaza;Supreme Tenderloin Regular 200gr;166000; 3.6 ;11; 3.3 ;23;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;yes;no;no;no;no;yes;yes;no
139;Blue Fire Steakhouse;East Jakarta;Duren Sawit;Owned place;Wagyu Top Blade;106000; 4.6 ;374; 4.0 ;60;Local Westerned;sirloin, wagyu;grilled;dory, fish and chips;soup, potato wedges;pasta, fried rice, burger, sandwich;no;chocolate, juice, squash, coffee, tea;seafood;yes;yes;yes;yes;no;no;yes;praying room
140;Waroeng Steak & Shake;East Jakarta;Kalimalang;Owned place;Steak Waroeng with Cheese Sauce;32727; 4.5 ;3513; 3.4 ;19;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;fish steak, grilled;no;chicken rice;sweet drinks;milkshakes, orange, iced tea, chocolate, lime, tea, mineral water;seafood;yes;no;no;no;no;no;no;no
141;Fiesta Steak;East Jakarta;Cibubur;Mall Ciputra;Wagyutaki Steak;123636; 4.1 ;117; 2.7 ;33;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon, fish and chips;soup, pasta, salad, chicken pop;fries, rice plate;no;mineral water, soft drink, coffee, orange juice, milo, tea;seafood;no;no;no;no;no;yes;no;no
142;Andakar;East Jakarta;Kramat Jati;Owned place;Burger Steak;56000; 4.4 ;967; 2.8 ;39;Local;sirloin, tenderloin, rib eye, ribs;steak, fried, filet;fish and chips, salmon, dory;lasagna, fries, nachos;burger, fries etc;ice cream;milkshakes, mineral water, squash, coffee, tea, juice, soft drink;seafood, lamb;yes;no;yes;no;no;yes;no;no
143;Obonk Steak & Ribs;East Jakarta;Klender;Owned place;Steak Tepung Beef Double;32000; 4.4 ;361; 2.7 ;17;Local;sirloin, tenderloin, rib eye, ribs;steak, cheese, cordon bleu;tuna, gindara;soup, fries;no;sweet drink;juice, float, milkshakes, coffee, tea;seafood;yes;no;no;no;no;no;no;no
144;Holycow! Halim Perdanakusuma;East Jakarta;Makasar;Bandara Halim Perdanakusuma;Hokubee Rib Eye;158000; 4.1 ;491; 2.4 ;32;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;lime, soda, mango latte, milkshakes, matcha, cappucino, soft drink;seafood;yes;no;no;no;no;yes;no;breakfast, kids friendly
145;Industrial Steak & Blend;East Jakarta;Kramat Jati;Owned place;Sirloin Crispy Steak;41000; 4.4 ;336; 3.1 ;17;Local;sirloin, tenderloin;steak;no;no;rice plate, fried rice, noodle, fries, pasta etc;ice cream, waffle, pancake, gelato;mocktail, milkshakes, blend, coffee, tea, chocolate, mineral water;no;yes;no;no;yes;no;yes;no;kids friendly
146;Besteak;East Jakarta;Cijantung;Cijantung Mall;Mozarella Sirloin;57000; 3.8 ;14; 2.6 ;30;Local;sirloin, tenderloin;steak, cordon bleu, teriyaki;no;no;rice plate, fried rice, noodle, fries etc;sweet drink;milkshakes, float, coffee, tea;no;yes;no;no;no;no;no;no;no
147;Roellie's;East Jakarta;Cibubur;SPBU Cibubur;Fried Chicken Steak;63500; 0.0 ;0; 2.4 ;12;Local;sirloin, tenderloin;steak, grilled, fried;no;fries, soup, salad, pasta;sop buntut, rawon;ice cream, sweet drinks;float, juice, smooties;duck;yes;yes;no;no;no;no;no;no
148;OMG Octav's Meat & Grill;East Jakarta;Cibubur;Blockbooster;Grill Ribs Large 1000gr;170000; 4.4 ;939; 3.6 ;35;Local Westerned;sirloin, tenderloin, rib eye, ribs;steak, grilled, fried, parmigiana;salmon, fish and chips;fries, soup, salad;burger, rice plate, fried rice, rice bowl, pasta;ice cream, toast, donuts, pannacotta, cake;beer, milkshakess, juice, shakes, mocktail, coffee, tea;seafood;yes;no;no;yes;beer;yes;yes;kids menu, praying room, live entertainment
149;El Bana Steak & Ribs;East Jakarta;Jatinegara;Owned place;Chicken Steak;32000; 4.2 ;155; 3.2 ;17;Local;sirloin, tenderloin;steak, katsu karaage, cordon bleu;yes;no;fried rice, burger, pasta, omelette;sweet drinks;milkshakes, float, squash, orange, coffee, tea;seafood;yes;no;no;no;no;no;no;no
150;Abuba Steak;Bekasi;Bekasi Barat;Summarecon;Wagyu Sirloin (MB 6-7);225000; 4.5 ;2654; 3.6 ;56;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;milkshakes, juice, mocktail, tea, soft drink, chocolate, mineral water;seafood, lamb;yes;yes;no;no;no;yes;yes;kids friendly
151;Steak 21;Bekasi;Bekasi Selatan;Metropolitan Mall;Prime Tenderloin Small 150gr;102000; 4.4 ;50; 3.6 ;66;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;yes;no;no;no;no;yes;yes;no
152;Fiesta Steak;Bekasi;Bekasi Selatan;Grand Galaxy Park;Sheriff Steak;94454; 4.2 ;266; 3.1 ;35;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon, fish and chips;soup, pasta, salad, chicken pop;fries, rice plate;no;mineral water, soft drink, coffee, orange juice, milo, tea;seafood;yes;yes;no;no;no;no;no;no
153;Ono Steak;Bekasi;Pondok Gede;Owned place;Steak Ribeye (per gram);400; 4.5 ;425; 3.3 ;6;Local;sirloin, tenderloin, rib eye;steak, grilled, fried;no;fries;indomie;fried banana, ice cream, banana split;milkshakes, coffee, soft drink, tea, milk, juice;no;yes;yes;no;yes;no;yes;no;praying room
154;Kedai Steak Nusantara;Bekasi;Jatisampurna;Owned place;Rump Steak 150gr;40000; 4.4 ;361; 3.5 ;4;Local;sirloin, rump, tenderloin;steak, fingers, cordon bleu;fish and chips;fries, pasta;soup, fried rice, rice plate, noodle, kway teow, beehoon, bakso etc;ice cream, es campur;tea, juice, mineral water, coffee, chocolate;lamb;yes;no;no;yes;no;yes;yes;praying room
155;Karnivor;Bekasi;Bekasi Utara;Summarecon;Meat Tower 2kg;449000; 4.4 ;2779; 3.8 ;150;Western;sirloin, tenderloin, t-bone, wing cut, hamburg;steak, fingers, cordon bleu;no;fries;pizza, sausage, bibimbap;fries;soda, blended, smooties, milkshakes, juice, tea, coffee, orange, milk, mineral water;no;yes;yes;no;yes;no;no;yes;no
156;Meat Compiler ;South Tangerang;Pondok Aren;Owned place;Australian Wagyu Rib Eye 200gr;245000; 4.6 ;801; 4.6 ;670;Western;sirloin, tenderloin, t-bone, santori;steak, burger;salmon;fries;burger, beef stroganoff;ice cream, brulee;coffee, tea, soft drink, mineral water;lamb, duck;yes;no;no;no;no;no;yes;no
157;Holycow! Pondok Aren;South Tangerang;Pondok Aren;Owned place;Wagyu Tenderloin MB +9;420000; 4.5 ;2956; 4.3 ;277;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;lime, soda, mango latte, milkshakes, matcha, cappucino, soft drink etc.;seafood;yes;yes;no;no;no;no;yes;no
158;B'Steak Grill & Pancake;South Tangerang;Serpong Utara;Owned place;Lousiana Prime Ribs 1kg;258500; 4.6 ;5594; 4.4 ;1096;Western;brisket, tenderloin, striploin, rib eye, mignon, ribs, tomahawk, t-bone;grilled, schnitzel, cordon bleu, steak, florentine etc;fish and chips, dory, salmon, snapper;fries, soup, salad, taco, quesadilas;sausage, omelette, burger, pasta, pie etc;pancake, ice cream, banana, toast, sweet drinks;beer, juice, milkshakes, mocktail, coffee, tea;seafood, lamb;no;yes;no;yes;beer;yes;yes;live entertainment
159;Yells Steak;South Tangerang;Cipondoh;Owned place;Tenderloin Australian 170gr;99000; 4.4 ;330; 4.1 ;130;Local Westerned;sirloin, tenderloin, rib eye;steak, grilled, fries, schnitzel;fish and chips, dory;pasta;pasta, fries, sausage;brulee, pannacotta;beer, milkshakes, coffee, tea, mineral water ;seafood, pork;yes;no;yes;yes;beer;yes;yes;private dining
160;Steakmate;South Tangerang;Serpong Utara;Owned place;Hokubee Tenderloin;145000; 4.5 ;163; 4.2 ;250;Local Westerned;sirloin, tenderloin, rib eye;steak, wings, fries;no;salad, pasta;burger, pasta, rice bowl;cake, brulee, pannacotta;beer, iced, coffee, tea, soft drink, squash, mineral water;no;yes;no;no;yes;beer;yes;yes;no
161;Double U Steak by Chef Widhi;South Tangerang;Pondok Aren;Owned place;NZ Sirloin 200gr;120000; 4.7 ;1687; 4.5 ;234;Local Westerned;sirloin, rib eye, rump;roasted;salmon, dory;salad, fries, tortilla;pasta;cake, ice cream;smooties, blended, coffee, tea, juice, lime, soft drink, mineral water;seafood, lamb;yes;no;yes;yes;no;yes;yes;praying room
162;Steak Industry;South Tangerang;Pondok Aren;PHX Bintaro;Local Tenderloin;55000; 4.7 ;160; 3.9 ;23;Local;sirloin, tenderloin, rib eye, bistik;steak, burger;no;no;burger, fries;no;tea, mineral water;no;yes;no;no;yes;no;no;no;praying room, private dining
163;Steak 21;South Tangerang;Serpong Utara;Living World;Combi Steak;80000; 4.1 ;8; 3.6 ;52;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice, pasta;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;yes;no;no;no;no;no;yes;no
164;Gandy Bistro;South Tangerang;Serpong;Teras Kota;Grilled US T-Bone;320000; 4.4 ;401; 3.8 ;58;Western;sirloin, tenderloin, rib eye, ribs;steak, schnitzel, cordon bleu etc;salmon, fish, prawn, platter, fish and chips;soup, salad, pasta, garlic bread, quesadilas;sandwich, schnitzel, burger, fries etc;ice cream, gelato;beer, wine, alcohol, coffee, iced coffee, iced tea, juice, milkshakes, water, mocktails;seafood, lamb;no;yes;yes;no;yes;no;yes;no
165;Mamoo;Tangerang;Ciledug;Owned place;Beef Mushroom;26000; 4.5 ;2932; 3.5 ;57;Local;sirloin, tenderloin, beef;steak, grilled;squid, catfish;fries;pasta;no;milkshakes, float, juice, lemon, coffee, tea, soft drink, mineral water;seafood;yes;no;no;no;no;no;no;no
166;Dagos Steak & Milk;South Tangerang;Pamulang;Owned place;Prime Beef Sirloin 200gr;80000; 5.0 ;9; 3.5 ;5;Local;sirloin, tenderloin;steak, grilled;no;;pasta, burger, kebab, roti john, roti canai, fries, fried rice, sausages;no;milkshakes, juice, blended, coffee, tea, chocolate, soft drink, mineral water;no;no;no;no;no;no;yes;yes;no
167;Rigita Steak;Depok;Sukmajaya;Owned place;Standard Tenderloin Steak;29000; 4.6 ;178; 3.7 ;6;Local;sirloin, tenderloin;steak;seabass, tuna;no;soup, sausage, fries;no;juice, yoghurt, soft drink, coffee, tea, mineral water;seafood;yes;no;no;no;no;no;no;no
168;Ray's Steak & Grill;Depok;Beji;Owned place;Tenderloin Steak 200gr;73636;;; 3.9 ;109;Local;sirloin, tenderloin, rib eye;steak, parmigiana, teriyaki;salmon, dory;pasta, quesadillas;pasta, burger, fries;no;coffee, tea, soft drink, mineral water;seafood;yes;yes;yes;yes;no;yes;yes;praying room, live entertainment
169;Abuba Steak;Depok;Beji;Owned place;Wagyu Rib Eye (MB 4-5);183000; 4.6 ;202; 3.8 ;174;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;milkshakes, juice, mocktail, tea, soft drink, chocolate, mineral water;seafood, lamb;yes;yes;no;no;no;yes;yes;kids friendly
170;Fiesta Steak;Depok;Beji;Margo City;Australian Sirloin Steak;92727;;; 3.4 ;90;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon, fish and chips;soup, pasta, salad, chicken pop;fries, rice plate;no;mineral water, soft drink, coffee, orange juice, milo, tea;seafood;yes;no;no;no;no;no;no;no
171;Double U Steak by Chef Widhi;Depok;Beji;Owned place;Rump MB+6 250gr;160000; 4.8 ;697; 4.0 ;44;Local Westerned;sirloin, rib eye, rump;roasted;salmon, dory;salad, fries, tortilla;pasta;cake, ice cream;smooties, blended, coffee, tea, juice, lime, soft drink, mineral water;seafood, lamb;yes;no;no;yes;no;yes;yes;praying room
172;Waroeng Steak & Shake;Depok;Cimanggis;Owned place;Single Sirloin Brown;25455; 4.4 ;4716; 3.6 ;64;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;fish steak, grilled;no;chicken rice;sweet drinks;milkshakes, orange, iced tea, chocolate, lime, tea, mineral water;seafood;yes;no;no;no;no;no;yes;no
173;Steak Moen;Depok;Beji;Depok Town Square;Double Tenderloin Hot Plate;25000; 4.3 ;2518; 3.6 ;87;Local;sirloin, tenderloin;steak;no;no;pasta;pudding;mocktail, yakult, coffee, tea, soft drink, mineral water;no;yes;no;no;no;no;no;no;no
174;Uncle Jo Steak;Depok;Pancoran Mas;Owned place;Sirloin Steak 100gr;48000; 4.9 ;73; 3.6 ;13;Local;sirloin, tenderloin;steak, cordon bleu;salmon, fish and chips;pasta;soup, fried rice, rice plate, fries;no;milkshakes, juice, special, coffee, tea, mineral water;seafood;yes;no;no;yes;no;no;yes;no
175;Selayang Pandang Kitchen Gallery;Depok;Sawangan;Owned place;Tenderloin Steak Australian Meat;83000; 4.4 ;715; 3.8 ;45;Local;sirloin, tenderloin, rib eye;grilled;salmon, carp, shrimp, squid;fries;fries, soup, salad, pasta, noodle, rice plate;no;blended, coffee, tea, mocktail;seafood;yes;no;yes;yes;no;yes;yes;praying room, live entertainment
176;Steak 21;Depok;Sukmajaya;Pesona Square Mall;Prime Rib Eye 200gr;102000; 4.7 ;93; 3.7 ;36;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice, pasta;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;yes;no;no;no;no;no;yes;no
177;D'rill Steak;Depok;Cimanggis;Owned place;Super Tenderloin;25000;;; 2.9 ;4;Local;beef, tenderloin;steak;dory, squid, prawn;no;pasta, rice plate, rice bowl, noodle;ice cream;milkshakes, float, blended, chocolate, coffee, tea, mineral water;seafood;yes;no;no;no;no;no;no;no
178;Babeh Steak;Depok;Cimanggis;Owned place;Rib Eye Import Regular;69000; 4.8 ;593; 3.7 ;26;Local;sirloin, tenderloin, rib eye;steak, schnitzel;dory;salad;fries, soup, rice plate, fried rice, noodle;toast, grilled banana;bir pletok, juice, coffee, tea, orange, mineral water;seafood, lamb;yes;yes;yes;yes;no;yes;yes;praying room
179;Crunchy Fried Chicken Steak;Depok;Sawangan;Owned place;Sirloin Steak ;35000;;; 3.2 ;5;Local;sirloin, tenderloin;steak, geprek;no;salad;fries, sausages, fried rice, pasta;no;milkshakes, soda, float, juice, tea, mineral water;no;yes;no;no;yes;no;no;no;no
180;B'Steak Grill & Pancake;Bogor;Bogor Timur;Owned place;Kingston Striploin 200gr;228500; 4.6 ;4223; 4.5 ;574;Western;brisket, tenderloin, striploin, rib eye, mignon, ribs, tomahawk, t-bone;grilled, schnitzel, cordon bleu, steak, florentine etc;fish and chips, dory, salmon, snapper;fries, soup, salad, taco, quesadilas;sausage, omelette, burger, pasta, pie etc;pancake, ice cream, banana, toast, sweet drinks;beer, juice, milkshakes, mocktail, coffee, tea;seafood, lamb;yes;yes;no;yes;beer;no;yes;praying room, private dining
181;Steak 21;Bogor;Bogor Tengah;Botani Square;Supreme Ribeye 150gr;108000; 4.5 ;485; 3.7 ;51;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice, pasta;banana split, sweet drinks;coffee, tea, chocolate, juice, milkshakes, soda;seafood, lamb;yes;no;no;no;no;yes;yes;no
182;Ono Steak;Bogor ;Bogor Utara;Owned place;Tenderloin Steak;79000; 4.4 ;1167; 3.8 ;28;Local;sirloin, tenderloin, rib eye;steak, grilled, fried;no;fries;indomie;fried banana, ice cream, banana split;milkshakes, coffee, soft drink, tea, milk, juice;no;yes;yes;no;yes;no;yes;yes;praying room, private dining
183;Happy Cow Steak;Bogor ;Bogor Utara;Owned place;Sirloin 200gr;65500; 4.5 ;608; 3.6 ;44;Local;sirloin, tenderloin, santori, wagyu;steak, cordon bleu, stroganoff, mozarella;no;no;no;patbingsoo, ice cream;coffee, tea, soda, milkshakes, juice, lemon, milk, mineral water;no;yes;no;yes;no;no;no;yes;no
184;Abuba Steak;Bogor ;Bogor Utara;Owned place;United States Rib Eye;135000; 4.4 ;3487; 4.0 ;172;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;milkshakes, juice, mocktail, tea, soft drink, chocolate, mineral water;seafood, lamb;yes;yes;yes;no;no;yes;yes;kids friendly
185;Waroeng Steak & Shake;Bogor ;Bogor Timur;Owned place;Beef Melted Signature;113636; 4.4 ;5098; 3.3 ;36;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;fish steak, grilled;no;chicken rice;sweet drinks;milkshakes, orange, iced tea, chocolate, lime, tea, mineral water;seafood;yes;no;yes;yes;liquor;no;no;praying room
186;Kumalawangi;Bogor ;Bogor Tengah;Royal Amaroosa Hotel Bogor;Grill Sirloin Steak;107000;;; 3.0 ;7;Local;sirloin;grilled;no;fries, pasta, salad;noodle, sandwich, burger, rice plate, pasta;ice cream, banana split, pancake;alcohol, mocktail, milkshakes, squash, juice, traditional, coffee, tea, soft drink, mineral water;no;no;no;no;no;no;yes;yes;breakfast
187;Dapoer Assalam;Bogor ;Bogor Barat;Owned place;Beef Steak;27000; 4.4 ;627; 3.2 ;8;Local;beef, sirloin;steak, grilled, fried;carp;no;soup, rice plate, fried rice;no;milkshakes, juice, coffee, tea, orange, float, squash, soft drink, mineral water;seafood, duck, vegetables;no;yes;no;yes;no;yes;no;valet parking
